"voice","displayText","expectedText","issues","error","durationSeconds","rms","peak","activeRatio","firstActiveSeconds","lastActiveSeconds","trailingSilenceSeconds","lessons","relativePath"
"cedar","already","already","","","1.2","0.09066508","0.70170414","0.353941","0.0614","0.5771","0.6229","120","cedar/already-22f39aa0eb1e642b.mp3"
"marin","also","also","","","1.056","0.06658383","0.40757212","0.408874","0.05","0.5791","0.4769","120","marin/also-c0cdfb7c4de8510f.mp3"
"cedar","also","also","","","1.32","0.04572637","0.3971231","0.264978","0.3258","0.8061","0.5139","120","cedar/also-c0cdfb7c4de8510f.mp3"
"marin","although","although","","","1.152","0.07268825","0.49612954","0.464355","0.1091","0.7192","0.4328","133","marin/although-99d03bab6c9a85bf.mp3"
"cedar","although","although","","","2.064","0.075691","0.52836382","0.378674","0.0544","0.9833","1.0807","133","cedar/although-99d03bab6c9a85bf.mp3"
"marin","although / though","although, or though","","","2.256","0.07962272","0.44406575","0.472139","0.0543","1.7565","0.4995","","marin/although-though-819385e764d6a382.mp3"
"cedar","although / though","although, or though","","","2.52","0.07078824","0.53064734","0.412574","0.0677","2.0056","0.5144","","cedar/although-though-819385e764d6a382.mp3"
"marin","altogether","altogether","","","1.248","0.08441242","0.47874233","0.532051","0.0532","0.907","0.341","121","marin/altogether-adf9f29c2c707239.mp3"
"cedar","altogether","altogether","","","1.56","0.0767474","0.52907187","0.486271","0.1726","1.1636","0.3964","121","cedar/altogether-adf9f29c2c707239.mp3"
"marin","always","always","","","1.2","0.08471372","0.59868395","0.635851","0.1231","1.0129","0.1871","118","marin/always-0565e75d9e5b70dc.mp3"
"cedar","always","always","","","1.32","0.05007031","0.47138509","0.313526","0.2666","0.848","0.472","118","cedar/always-0565e75d9e5b70dc.mp3"
"marin","am","am","","","1.056","0.05408351","0.37386236","0.313743","0.0638","0.4418","0.6142","122","marin/am-2c0d36faf140208f.mp3"
"cedar","am","am","","","0.912","0.05669243","0.56161833","0.38777","0.123","0.5817","0.3303","122","cedar/am-2c0d36faf140208f.mp3"
"marin","ambulance","ambulance","","","1.2","0.06283575","0.3171128","0.479149","0.0599","0.8357","0.3642","109","marin/ambulance-0ca9cb7434579f07.mp3"
"cedar","ambulance","ambulance","","","1.368","0.05132154","0.59007734","0.397813","0.1613","0.8547","0.5133","109","cedar/ambulance-0ca9cb7434579f07.mp3"
"marin","America","America","","","1.248","0.0562511","0.42443743","0.409589","0.1153","0.7772","0.4708","89","marin/america-9572dc1483a04977.mp3"
"cedar","America","America","","","1.32","0.04819675","0.36179665","0.359359","0.1533","0.8348","0.4852","89","cedar/america-9572dc1483a04977.mp3"
"marin","American","American","","","2.448","0.04947429","0.47470447","0.201891","0.1352","0.7804","1.6676","89","marin/american-48e9f7d867a2dc09.mp3"
"cedar","American","American","","","2.16","0.05691736","0.4892239","0.313416","0.0514","0.8871","1.2729","89","cedar/american-48e9f7d867a2dc09.mp3"
"marin","among","among","","","1.464","0.05588186","0.33971989","0.308743","0.0483","0.5577","0.9063","130","marin/among-5a3e597bc4365d59.mp3"
"cedar","among","among","","","1.056","0.06741485","0.44265667","0.500927","0.139","0.7594","0.2966","130","cedar/among-5a3e597bc4365d59.mp3"
"marin","amount","amount","","","1.32","0.06227127","0.36846495","0.332181","0.0736","0.7032","0.6168","98","marin/amount-ab25233eea4733d0.mp3"
"cedar","amount","amount","","","0.96","0.04909276","0.53527945","0.435417","0.0515","0.6937","0.2663","98","cedar/amount-ab25233eea4733d0.mp3"
"marin","an","an","","","1.2","0.05210611","0.3715145","0.308802","0.1122","0.5279","0.6721","125","marin/an-50ce2d6d629fa838.mp3"
"cedar","an","an","","","0.96","0.04897781","0.54536456","0.328885","0.1856","0.6034","0.3566","125","cedar/an-50ce2d6d629fa838.mp3"
"marin","ancient","ancient","","","0.96","0.07181342","0.33052489","0.487543","0.0576","0.6883","0.2717","34","marin/ancient-d7e86677e4d71130.mp3"
"cedar","ancient","ancient","","","1.056","0.03817011","0.29153845","0.334774","0.3357","0.837","0.219","34","cedar/ancient-d7e86677e4d71130.mp3"
"marin","and","and","","","0.816","0.07630469","0.37424371","0.429943","0.0522","0.44","0.376","133","marin/and-4e37fb97801e7191.mp3"
"cedar","and","and","","","0.96","0.03814427","0.43490741","0.227561","0.2488","0.585","0.375","133","cedar/and-4e37fb97801e7191.mp3"
"marin","and so on","and so on","","","1.656","0.06170139","0.43384016","0.475506","0.0638","1.2647","0.3913","","marin/and-so-on-51ffa50a977a583f.mp3"
"cedar","and so on","and so on","","","1.512","0.06726679","0.52516538","0.530175","0.0543","1.1919","0.3201","","cedar/and-so-on-51ffa50a977a583f.mp3"
"marin","And you?","And you?","","","1.056","0.08717977","0.32396397","0.619081","0.0575","0.7773","0.2787","","marin/and-you-795d8701aa706ca3.mp3"
"cedar","And you?","And you?","","","1.2","0.06065698","0.42992318","0.503403","0.1638","0.8468","0.3532","","cedar/and-you-795d8701aa706ca3.mp3"
"marin","angel","angel","","","1.008","0.07605111","0.57208574","0.398417","0.157","0.6055","0.4025","2","marin/angel-6e90aca46588438c.mp3"
"cedar","angel","angel","","","1.368","0.03950152","0.4097518","0.250076","0.585","0.99","0.378","2","cedar/angel-6e90aca46588438c.mp3"
"marin","anger","anger","","","0.864","0.06932615","0.31548318","0.467761","0.0576","0.5895","0.2745","22","marin/anger-fa4df0c507f8a760.mp3"
"cedar","anger","anger","","","1.32","0.0351893","0.52863878","0.194366","0.5765","0.9325","0.3875","22","cedar/anger-fa4df0c507f8a760.mp3"
"marin","angle","angle","","","1.152","0.08091574","0.52724874","0.43193","0.0971","0.6399","0.5121","","marin/angle-7480999dafeff49e.mp3"
"cedar","angle","angle","","","1.104","0.06052413","0.62695277","0.276476","0.1531","0.5565","0.5475","","cedar/angle-7480999dafeff49e.mp3"
"marin","angry","angry","","","1.2","0.06166815","0.31596458","0.461476","0.056","0.6965","0.5035","15","marin/angry-98c7438594498e14.mp3"
"cedar","angry","angry","","","1.008","0.06953741","0.64219564","0.446243","0.0554","0.5935","0.4145","15","cedar/angry-98c7438594498e14.mp3"
"marin","animal","animal","","","1.464","0.04836352","0.29254937","0.298213","0.5079","0.9791","0.4849","110","marin/animal-39a33f743cb27a4c.mp3"
